test,composite,type,chc,scoretype,minage,maxage,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,sem23,sem24,sem25,sem26,sem27,sem28,sem29,sem30,sem31,sem32,sem33,sem34,sem35,sem36,sem37,sem38,sem39,sem40,sem41,sem42,sem43,sem44,sem45,sem46,sem47,sem48,sem49,sem50,sem51,sem52,sem53,sem54,sem55,sem56,sem57,sem58,sem59,sem60,sem61,sem62,sem63,sem64,sem65,sem66,sem67,sem68,sem69,sem70,sem71,sem72,sem73,sem74,sem75,sem76,sem77,sem78,sem79,sem80,sem81,sem82,sem83,sem84,sem85,sem86,sem87,sem88,sem89,sem90
WAIS-IV,Verbal Comprehension Index,cognitive,Gc,standard,16,90,,,,,,,,,,,,,,,,3.67,3.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3,3,3,3,3,2.6,2.6,2.6,2.6,2.6,2.12,2.12,2.12,2.12,2.12,2.12
WAIS-IV,Perceptual Reasoning Index,cognitive,Gf/Gv,standard,16,90,,,,,,,,,,,,,,,,3.35,3.35,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3,3,3,3,3,3,3,3,3,3,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3,3,3,3,3,3,3,3,3,3,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.67,3.67,3.67,3.67,3.67,4.24,4.24,4.24,4.24,4.24,3.97,3.97,3.97,3.97,3.97,3.97
WAIS-IV,Working Memory Index,cognitive,Gwm,standard,16,90,,,,,,,,,,,,,,,,3.97,3.97,3.67,3.67,4.24,4.24,4.24,4.24,4.24,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,2.97,2.97,2.97,2.97,2.97,3.35,3.35,3.35,3.35,3.35,3.67,3.67,3.67,3.67,3.67,3.97,3.97,3.97,3.97,3.97,3.97
WAIS-IV,Processing Speed Index,cognitive,Gs,standard,16,90,,,,,,,,,,,,,,,,5.2,5.2,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
WAIS-IV,Full Scale IQ,cognitive,g,standard,16,90,,,,,,,,,,,,,,,,2.6,2.6,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
WISC-V,Verbal Comprehension Index,cognitive,Gc:VL,standard,6,16,,,,,,4.5,4.24,4.74,3.97,3.97,4.74,3.67,3.97,4.24,4.24,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Verbal (Extended Crystallised) Index,cognitive,Gc,standard,6,16,,,,,,3.97,3.35,3.67,3.35,3.35,3.67,3,3.35,3,3.35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Fluid Reasoning Index,cognitive,Gf,standard,6,16,,,,,,3.97,3.67,3.67,3.97,3.97,4.24,3.35,3.97,3.97,3.97,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Extended Fluid Index,cognitive,Gf,standard,6,16,,,,,,3.35,3.67,3.35,3.67,3.35,3.67,3,3.67,3.35,3.35,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Visual Spatial Index,cognitive,Gv:Vz,standard,6,16,,,,,,4.5,4.24,4.24,4.5,4.5,4.5,3.97,4.5,4.74,3.97,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Working Memory Index,cognitive,Gwm,standard,6,16,,,,,,4.24,4.5,4.24,4.24,4.5,4.24,3.97,4.24,4.24,4.24,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Auditory Working Memory Index,cognitive,Gwm:Wa,standard,6,16,,,,,,3,3.67,4.24,3.97,4.5,4.24,3.67,3.97,3.35,3.97,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Processing Speed Index,cognitive,Gs,standard,6,16,,,,,,5.2,5.2,5.61,5.41,5.41,5.2,6,6,4.5,4.5,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Full Scale IQ,cognitive,g,standard,6,16,,,,,,3,3,3,3,3,3,2.6,3,3,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,General Ability Index,cognitive,g,standard,6,16,,,,,,3.35,3,3,3,3,3.35,2.6,3,3.35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Cognitive Proficiency Index,cognitive,g,standard,6,16,,,,,,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.5,3.67,3.67,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISC-V,Nonverbal Index,cognitive,g,standard,6,16,,,,,,3.35,3.35,3.35,3.35,3.35,3.35,3,3.35,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
