test,subtest,type,chc,minage,maxage,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,sem23,sem24,sem25,sem26,sem27,sem28,sem29,sem30,sem31,sem32,sem33,sem34,sem35,sem36,sem37,sem38,sem39,sem40,sem41,sem42,sem43,sem44,sem45,sem46,sem47,sem48,sem49,sem50,sem51,sem52,sem53,sem54,sem55,sem56,sem57,sem58,sem59,sem60,sem61,sem62,sem63,sem64,sem65,sem66,sem67,sem68,sem69,sem70,sem71,sem72,sem73,sem74,sem75,sem76,sem77,sem78,sem79,sem80,sem81,sem82,sem83,sem84,sem85,sem86,sem87,sem88,sem89,sem90
WAIS-IV,Similarities,cognitive,Gc:VL,16,90,,,,,,,,,,,,,,,,1.31,1.31,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.12,1.12,1.12,1.12,1.12,1.08,1.08,1.08,1.08,1.08,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.04,1.04,1.04,1.04,1.04,0.95,0.95,0.95,0.95,0.95,1.12,1.12,1.12,1.12,1.12,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WAIS-IV,Vocabulary,cognitive,Gc:VL,16,90,,,,,,,,,,,,,,,,0.79,0.79,0.79,0.79,0.73,0.73,0.73,0.73,0.73,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.6,0.6,0.6,0.6,0.6,0.6
WAIS-IV,Information,cognitive,Gc:K0,16,90,,,,,,,,,,,,,,,,0.99,0.99,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.6,0.6,0.6,0.6,0.6,0.6
WAIS-IV,Comprehension,cognitive,Gc:K0,16,90,,,,,,,,,,,,,,,,1.27,1.27,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.04,1.04,1.04,1.04,1.04,1.16,1.16,1.16,1.16,1.16,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.27,1.27,1.27,1.27,1.27,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.95,0.95,0.95,0.95,0.95,0.95
WAIS-IV,Block Design,cognitive,Gv:Vz,16,90,,,,,,,,,,,,,,,,1.04,1.04,1.08,1.08,1.2,1.2,1.2,1.2,1.2,0.95,0.95,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.08,1.08,1.08,1.08,1.08,0.99,0.99,0.99,0.99,0.99,1.27,1.27,1.27,1.27,1.27,1.34,1.34,1.34,1.34,1.34,1.12,1.12,1.12,1.12,1.12,1.12
WAIS-IV,Visual Puzzles,cognitive,Gv:Vz,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIS-IV,Matrix Reasoning,cognitive,Gf:I,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIS-IV,Figure Weights,cognitive,Gf:RG,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIS-IV,Picture Completion,cognitive,Gv:CF,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIS-IV,Digit Span,cognitive,Gwm:Wa,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
